incubator,location
NETRARIT FOUNDATION,Uran Islampur Maharashtra
Bhubaneswar City Knowledge Innovation Cluster Foundation,Bhubaneswar Odisha
IIM Jammu,Srinagar Jammu and Kashmir
IDEAS - Institute of Data Engineering Analytics and Science Foundation,Kolkata West Bengal
Innovation and Incubation Centre for Entrepreneurship,Bhopal Madhya Pradesh
Swami Technical and Development Foundation,Ahmednagar Maharashtra
GNLU Legal Incubation Council,Gandhinagar Gujarat
Har Prasad Gupt Incubation Foundation,Varanasi Uttar Pradesh
Dr Moopens iNEST,Wayanad Kerala
KALINGA INCUBATION FOUNDATION,Raipur Chhattisgarh
GALGOTIAS INCUBATION CENTRE FOR RESEARCH INNOVATION STARTUP and ENTREPRENEURS,Gautam Buddha Nagar Uttar Pradesh
OPJU Innovation Center,Raigarh Chhattisgarh
BPlan Advisors Private Limited,Raipur Chhattisgarh
I Hub Foundation for Cobotics,New Delhi Delhi
Hatchlab Research Centre,Guntur Andhra Pradesh
Sathak Innovation and Incubation Foundation,Chennai Tamil Nadu
IIM SAMBALPUR I-HUB FOUNDATION,Sambalpur Odisha
PLA,Bengaluru Karnataka
BITS PILANI HYDERABAD CAMPUS SOCIETY,Hyderabad Telangana
Sona Accelerator & Incubation Foundation,Salem Tamil Nadu
Mayank Giri,Marmagao Goa
Rohilkhand Incubation Foundation,Bareilly Uttar Pradesh
Atal Incubation Centre Manipur Technical University Innovation Foundation,Imphal West Manipur
NIT Warangal Innovation and Entrepreneurship Foundation,Warangal Urban Telangana
Ganesan Incubation and Entrepreneurship Centre,Kanchipuram Tamil Nadu
Andhra University Incubation Council,Visakhapatnam Andhra Pradesh
Janami Foundation,Allahabad Uttar Pradesh
Carmel Incubator Foundation,Bengaluru Urban Karnataka
Kalpataru CoE,Visakhapatnam Andhra Pradesh
Software Technology Parks of India Dehradun,Dehradun Uttarakhand
TIH Foundation for IoT and IoE,Mumbai Maharashtra
TIH-IoT,Mumbai Maharashtra
GU-TBI,Phagwara Punjab
Rohan Borgalli,Mumbai Maharashtra
Buddha Institute,South West Delhi Delhi
AIC SELCO Foundation,Guwahati Assam
Sri Venkateswara University,Tirupati Andhra Pradesh
MSCBU Incubation Foundation,Baripada Town Odisha
Chennai Institute Technology Business Incubation Forum,Kanchipuram Tamil Nadu
Icco,Kamrup Assam
JCB Technology Business Incubator,Faridabad Haryana
SYED AMMAL INNOVATION AND INCUBATION COUNCIL,Ramanathapuram Tamil Nadu
SPU MANDI INNOVATION AND ENTREPRENEURSHIP FOUNDATION,Mandi Himachal Pradesh
LVPEI Incubator,Hyderabad Telangana
Northeast Agriculture Technology Entrepreneurs Hub,Jorhat Assam
Nehru Group of Institutions Technology Business INcubator,Palakkad Kerala
Centre for Entrepreneurship,Nellore Andhra Pradesh
Research Innovation & Startup Ecosystem,Malappuram Kerala
SASTRA DEEMED TO BE UNIVERSITY,Thanjavur Tamil Nadu
NIT Raipur Foundation For Innovation and Entrepreneurship,Raipur Chhattisgarh
CIIE IIT (ISM) DHANBAD FOUNDATION,Dhanbad Jharkhand
AIC MIT ADT Incubator Forum,Pune Maharashtra
Massive Earth Foundation,Gurugram Haryana
Foundation for Science Innovation and Development,Bengaluru Urban Karnataka
Shri Mahalaxmi Shikshan Sansthan,Jodhpur Rajasthan
Nattraja Incubation Forum,Namakkal Tamil Nadu
SUK Research and Development Foundation,Kolhapur Maharashtra
APIARY - A Centre of Entrepreneurship in Blockchain Technology,Gurugram Haryana
CGC-J Technology Business Incubator Association,Sahibzada Ajit Singh Nagar Punjab
Remarkable Education Private Limited,Jodhpur Rajasthan
MREC-Business Incubation Centre,Medchal Malkajgiri Telangana
Mizoram University BioNEST,Aizawl Mizoram
Tholons Knowledge Management Pvt Ltd,Bengaluru Karnataka
Bundelkhand University Active Start Up and Incubation Council,Jhansi Uttar Pradesh
Navrachna Foundation for Entrepreneurship Development,Gautam Buddha Nagar Uttar Pradesh
REVA Aspiring youth foundation,Bengaluru Karnataka
SSN Incubation Foundation,Chennai Tamil Nadu
Student Incubation Cell,South Delhi Delhi
Chhatrapati Shahu Ji Maharaj Innovation Foundation,Kanpur Nagar Uttar Pradesh
PSIT Startup And Incubation Foundation,Kanpur Nagar Uttar Pradesh
VGU TBI Foundation,Jaipur Rajasthan
WASH Innovation Hub,Hyderabad Telangana
Vel Tech Technology Incubator,Tiruvallur Tamil Nadu
MUIT Incubation and Innovation Foundation (MIIF),Lucknow Uttar Pradesh
CU TBI,Mohali Punjab
Federation of Asian Biotech Associations,Hyderabad Telangana
Dr Anamika Dey,Ahmedabad Gujarat
Rathinam Business Park,Coimbatore Tamil Nadu
EDUCENTRE SCHOOL OF BUSINESS,Dimapur Nagaland
AIC-CVRAMAN COLLEGE OF ENGINEERING FOUNDATION,Bhubaneswar Odisha
Paavai Incubation Center,Namakkal Tamil Nadu
Startups Valley TBI,Kottayam Kerala
ICCW,Chennai Tamil Nadu
Anurag Vibhuti,East Delhi Delhi
Xavier Council of Innovation,Bhubaneswar Odisha
Charusat Innovative Ventures Foundation,Anand Gujarat
Sahrdaya TBII Hub,Thrissur Kerala
UDDYAM PAHSUI FOUNDATION,Solapur Maharashtra
Nutan Incubation Centre (NIC),Talegaon Dabhade Maharashtra
V Hub Innovation Centre,Tirupati Andhra Pradesh
NSUT IIF,South West Delhi Delhi
VITAP TBI FOUNDATION,Guntur Andhra Pradesh
Foundation for Innovation and Technology Transfer IIT Delhi,South Delhi Delhi
ACIC Mar Ephraem Incubation Forum,Kanyakumari Tamil Nadu
AIC Pinnacle Entrepreneurship Forum,Pune Maharashtra
Antrapreneur-the Business Incubator,Ahmedabad Gujarat
S V Innovation Foundation,Kadi Gujarat
Foundation for Innovation and Technology Transfer,South Delhi Delhi
DPSRU Innovation and Incubation Foundation,South Delhi Delhi
BITS BioCyTiH Foundation,Marmagao Goa
Krishna Educational Foundation,Vadodara Gujarat
Suyash Tripathi,Chennai Tamil Nadu
HBTU,Kanpur Nagar Uttar Pradesh
TIH-IoT,Mumbai Maharashtra
KR Mangalam Entrepreneurship and Incubation Center,Sohna Haryana
SPMVV-Women Biotech Incubation Facility SSIIE,Tirupati Andhra Pradesh
Technology Innovation Foundation of IIT Palakkad,Palakkad Kerala
ARAI Advance Mobility Transformation and Innovation Foundation AMTIF,Pune Maharashtra
SOA-CII,Bhubaneswar Odisha
Tagore Centre for Green Technology Business Incubation,Howrah West Bengal
SGBAU Research and Incubation Foundation,Amravati Maharashtra
A Hub,Visakhapatnam Andhra Pradesh
JNTUH TBI,Hyderabad Telangana
SDAU Rural Business Incubation Centre,Palanpur Gujarat
Incubation and Innovation Foundation VBS Purvanchal University,Jaunpur Uttar Pradesh
IVRI Pashu Vigyan Incubator,Bareilly Uttar Pradesh
STPINext OctaNE CoE, Uttar Pradesh
Innoscale Global Foundation,Gorakhpur Uttar Pradesh
International Automobile Centre of Excellence,Gandhinagar Gujarat
Incubein Foundation,Nagpur Maharashtra
IITI DRISHTI CPS FOUNDATION,Indore Madhya Pradesh
AIC INFED,Nagpur Maharashtra
Bundelkhand University Active Start-Up Incubation Council (BASIC),Jhansi Uttar Pradesh
Sreenidhi ASCEND,Hyderabad Telangana
CIMP Business Incubation & Innovation Foundation,Patna Bihar
GL Bajaj Center for Research and Incubation,Gautam Buddha Nagar Uttar Pradesh
Sri Sairm Techno Incubator Foundation,Chennai Tamil Nadu
NetEdge Incublator,Noida Uttar Pradesh
Ekta Incubation Centre,Nadia West Bengal
Sand Tank Startup Foundation (Axis Colleges),Kanpur Uttar Pradesh
BUNDELKHAND INNOVATION AND INCUBATION CENTER FOUNDATION,Jhansi Uttar Pradesh
ACIC-VGU Foundation,Jaipur Rajasthan
Startup Accelerator Chamber of Commerce,Mohali Punjab
Lemon Ideas Innovations Pvt Ltd,Nagpur Maharashtra
AIC-IIITH Foundation,Hyderabad Telangana
Grameena Incubation Center,Anakapalle Andhra Pradesh
Ideation Innovation & Incubation (I-3) Foundation,Varanasi Uttar Pradesh
Technology Business Incubator @ Kongu Engineering College,Erode Tamil Nadu
ACIC GIETU FOUNDATION,Rayagada Odisha
NAVSANCHAR INCUBATION AND CENTER FOR ENTREPRENEURSHIP FOUNDATION RECABN,Ambedkar Nagar Uttar Pradesh
Kurativz Technologies And Consultation Private Limited,Noida Uttar Pradesh
IIPH NIDHI TBI for Public Health Gandhinagar,Gandhinagar Gujarat
Mizoram University BioNEST,Aizawl Mizoram
Sharda Launchpad Foundation,Gautam Buddha Nagar Uttar Pradesh
Karunya Technology Business Incubation Park,Coimbatore Tamil Nadu
REVA NEST - TBI,Bengaluru Karnataka
Rural Business Incubator,Almora Uttarakhand
The StepUp Ventures,Bengaluru Urban Karnataka
Bennett Hatchery,Gautam Buddha Nagar Uttar Pradesh
Amrita TBI,Kollam Kerala
IIT Mandi Catalyst,Mandi Himachal Pradesh
AIC Mahindra e-Hub Foundation,Hyderabad Telangana
SIDDHAM INNOVATION AND BUSINESS INCUBATION CENTRE,Kolhapur Maharashtra
SPARK Incubation Centre,Sagar Madhya Pradesh
EDII Anna Business Incubation Research Foundation,Tiruchirappalli Tamil Nadu
VEC Centre for Research & Innovation Foundation Vardhaman Educational Society,Hyderabad Telangana
SANDIP TBI,Nashik Maharashtra
PERIYAR UNIVERSITY BUSINESS INCUBATION CONFEDERATION,Salem Tamil Nadu
Crest Innovations Foundation,New Delhi Delhi
IIMN Foundation for Entrepreneurship Development (InFED),Nagpur Maharashtra
Pusa Krishi,New Delhi Delhi
AIC@36Inc,Raipur Chhattisgarh
Centre for Innovation Incubation and Business Modelling,Jammu Jammu and Kashmir
G H Raisoni Technology Business Incubator Foundation,Nagpur Maharashtra
AIC MAHAMANA FOUNDATION FOR INNOVATION AND ENTREPRENEURSHIP IM BHU,Varanasi Uttar Pradesh
GNLU Legal Incubation Council,Ahmedabad Gujarat
Centre for Entrepreneurship Development and Incubation (CEDI),Tiruchirappalli Tamil Nadu
IIM Kashipur Foundation for Innovation and Entrepreneurship Development,Kashipur Uttarakhand
ACIC RISE ASSOCIATION,Mohali Punjab
Yenepoya Technology Incubator,Mangaluru Karnataka
SSIIE-Technology Business Incubator,Tirupati Andhra Pradesh
DBU TBI FOUNDATIONS,Fatehgarh Sahib Punjab
NASSCOM COE IOT,Bengaluru Karnataka
ACIC - KL Startups Foundation,Guntur Andhra Pradesh
ANGRAU RKVY Agri Business Incubator,Tirupati Andhra Pradesh
NATIONAL DESIGN BUSINESS INCUBATOR - AHMEDABAD,Ahmedabad Gujarat
DAVV Incubation Centre,Indore Madhya Pradesh
Sobus Ventures Incubator,Bengaluru Karnataka
AIC Nitte Incubation Centre,Udupi Karnataka
Karnavati Innovation and Incubation Foundation,Gandhinagar Gujarat
BIT TBI,Erode Tamil Nadu
IIT Guwahati TIDF BioNEST,Guwahati Assam
Innovation Mission Punjab,Sahibzada Ajit Singh Nagar Punjab
Centre for Incubation,Kolkata West Bengal
MOTION CoE,Pune Maharashtra
SGSITS Incubation Forum,Indore Madhya Pradesh
WeAiD - Incubator for Women Startps,Hyderabad Telangana
NETRARIT Foundation,Sangli Maharashtra
Rise Jhansi Incubation Center,Jhansi Uttar Pradesh
Vel Tech Technology Business Incubator,Tiruvallur Tamil Nadu
FOUNDATION FOR CfHE,Sangareddy Telangana
Digvijay Singh,Ahmedabad Gujarat
Jain University Incubation Centre,Bengaluru Karnataka
WISE SNDTWU Incubation Centre,Mumbai Maharashtra
UASB AIC,Bengaluru Urban Karnataka
Centre for Advancing and Launching Enterprises,Gandhinagar Gujarat
Dr Prashant Khande,Pune Maharashtra
AIC Pinnacle Entrepreneurship Forum,Pune Maharashtra
CCS NIAM Agri Business Incubator,Jaipur Rajasthan
AIC-PONDICHERRY ENGINEERING COLLEGE FOUNDATION,Pondicherry Puducherry
B Nest Foundation,Bhopal Madhya Pradesh
AIC ADT BARAMATI FOUNDATION,Baramati Maharashtra
BioNEST-BHU InnoResTech Foundation,Varanasi Uttar Pradesh
AIC SMU TECHNOLOGY BUSINESS INCUBATION FOUNDATION,Namchi Sikkim
AICNIFTTEA Incubation Centre for Textiles and Apparels,Tiruppur Tamil Nadu
SSCBS Innovation and Incubation Foundation,North West Delhi Delhi
Security and Scientific Technical Research Association,Gandhinagar Gujarat
ThinkTrans Foundation,Solapur Maharashtra
MedTech Centre of Entrepreneurship,Lucknow Uttar Pradesh
Institute for Industrial Development under the aegis of M/s Samadhan Samiti,Lucknow Uttar Pradesh
Bala Vikasa Center for Social and Responsible Business,Hyderabad Telangana
Electropreneur Park,South Delhi Delhi
RISE Foundation IISER,Kolkata West Bengal
APIARY,Gurugram Haryana
CHAMBER OF INDIAN MICRO SMALL AND MEDIUM ENTERPRISES,Central Delhi Delhi
MUTBI,Udupi Karnataka
OctaNE CoE,Guwahati Assam
Shantanu Patil,Kanchipuram Tamil Nadu
Research and Innovation Circle of Hyderabad,Hyderabad Telangana
CIET-TBI,Coimbatore Tamil Nadu
Startup Incubation & Innovation Foundation UPTTI Kanpur,Kanpur Nagar Uttar Pradesh
Nashik Engineering Cluster,Nashik Maharashtra
JSSATE STEP BANGALORE,Bengaluru Karnataka
Agri Business Incubation Foundation IIT Kharagpur,Kharagpur West Bengal
AIC SMU TECHNOLOGY BUSINESS INCUBATION FOUNDATION,Gangtok Sikkim
Chitkara innovation incubator foundation,Rajpura Punjab
AIC-JKLU (Atal Incubation Center-JK Lakshmipat University),Jaipur Rajasthan
BioNEST @ CSIR-IITR,Lucknow Uttar Pradesh
YouthNet Incubation Centre,Dimapur Nagaland
Electropreneur Park Bhubaneswar,Bhubaneswar Odisha
DBT_ILS Bioincubator,Bhubaneswar Odisha
AIC-Great lakes Balachandran Incubator,Chennai Tamil Nadu
SPARKLE,Mathura Uttar Pradesh
Dr Chandrashekhar Talathi,Pune Maharashtra
CIBA,South Goa Goa
MaDeIT Innovation Foundation,Chennai Tamil Nadu
Gujarat Student startups and innovation hub (i-hub),Ahmedabad Gujarat
INURTURE INCUBATION FOUNDATION,Ghaziabad Uttar Pradesh
PDEU Innovation and Incubation Centre,Gandhinagar Gujarat
Vignan TBI,Guntur Andhra Pradesh
IPU Innovation & Incubation Foundation,South West Delhi Delhi
Dr Ram Ghatak,South Delhi Delhi
Marathwada Accelerator for Growth and Incubation Council,Aurangabad Maharashtra
Vignan TBI,Guntur Andhra Pradesh
Navotthan Startup Foundation,Kannauj Uttar Pradesh
Sharda Launchpad Federation,Noida Uttar Pradesh
Shobhit University,Meerut Uttar Pradesh
Udhmodya Foundation,Delhi Delhi
ACIC-Audisankara Innovation and Incubation centre,Gudur Andhra Pradesh
AIC Banasthali Vidyapith Foundation,Tonk Rajasthan
AIC - SKU Confederation,Anantapur Andhra Pradesh
KIIC,Kozhikode Kerala
ASSOCIATION FOR HARNESSING INNOVATION AND ENTREPRENEURSHIP,Surat Gujarat
AIC-AMTZ MEDIVALLEY INCUBATION COUNCIL,Visakhapatnam Andhra Pradesh
AIC BV Foundation,Patna Bihar
JISIC Foundation,Tiruvallur Tamil Nadu
Dr Praveen Kumar CEO FIST IIT Patna,Patna Bihar
Meraj Faheem,Hyderabad Telangana
Medicaps Innovation and Incubation Foundation,Indore Madhya Pradesh
Sathyabama Technology Business Incubator,Chennai Tamil Nadu
BIONEST-IASST (ISVEC),Guwahati Assam
AIC Jyothy Institute of Technology Foundation,Bengaluru Urban Karnataka
Entrepreneurship Promotion and Incubation Council,Ambala Haryana
AITH Incubation and Startup Foundation,Kanpur Nagar Uttar Pradesh
Mizone,Kannur Kerala
BSSS Incubation Centre,Bhopal Madhya Pradesh
Presidency Launch Pad Association,Bengaluru Rural Karnataka
Startify,Chennai Tamil Nadu
CIED IUST Foundation,Pulwama Jammu and Kashmir
TCE Technology Business Incubator,Madurai Tamil Nadu
Crescent Innovation and Incubation Council,Chennai Tamil Nadu
Parul Innovation and Entrepreneurship Research Center,Vadodara Gujarat
ASPIRE University of Hyderabad,Hyderabad Telangana
Biopharma Incubation Center NIPER Ahmedabad,Gandhinagar Gujarat
Women Innovation and Entrepreneurship Foundation,Gautam Buddha Nagar Uttar Pradesh
ACIC SGTU,Gurugram Haryana
IIMV Foundation for Incubation Entrepreneurial Learning and Development,Visakhapatnam Andhra Pradesh
BBB RCB Faridabad,Faridabad Haryana
Catalyst for Women Entrepreneurship,Bengaluru Karnataka
Chandigarh University Technology Business Incubator,Mohali Punjab
CIPET CTEF INNOVEX,Bhubaneswar Odisha
IICE (Innovation & Incubation Centre for Entrepreneurship) BMU Surat,Navi Mumbai Maharashtra
Baba Farid School of Entrepreneurship,Bathinda Punjab
AIC NIFTEA Incubation centre,Tiruppur Tamil Nadu
Bilaspur Incubation centre,Bilaspur Chhattisgarh
Vishnu Foundation TBI,Bhimavaram Andhra Pradesh
AAU Incubation Center,Anand Gujarat
SVCET TBI,Chittoor Andhra Pradesh
AIC Prestige Inspire Foundation,Indore Madhya Pradesh
IIT BHUBANESWAR RESEARCH AND ENTREPRENEURSHIP PARK,Bhubaneswar Odisha
AIC BAMU FOUNDATION,Aurangabad Maharashtra
Gwalior Smart City Incubation centre,Gwalior Madhya Pradesh
Satna Incubation Centre,Satna Madhya Pradesh
accerator,Agra Uttar Pradesh
Vignana Jyothi Foundation for Entrepreneurial Excellence,Hyderabad Telangana
NCAM,Hyderabad Telangana
IIT Jodhpur Technology Innovation and Startup Center,Jodhpur Rajasthan
MIET Incubation Forum,Meerut Uttar Pradesh
VISHNU FOUNDATION TBI,Bhimavaram Andhra Pradesh
VJTI Technology Business Incubator,Mumbai Maharashtra
VJTI-Technology Business Incubator,Mumbai Maharashtra
a-IDEA ICAR NAARM,Ranga Reddy Telangana
SRiX_SR Innovation Exchange,Warangal Telangana
IMI INCUBATION FOUNDATION,Bhubaneswar Odisha
AMET Centre for Entrepreneurship Innovation and Incubation,Chennai Tamil Nadu
Tula's Technology Business Incubator Foundation (TTBIF),Dehradun Uttarakhand
IISR ABI,Kozhikode Kerala
IIMT BUSINESS INCUBATOR,Meerut Uttar Pradesh
TEXMiN TBI,Dhanbad Jharkhand
NIFT Foundation for Design Innovation,South Delhi Delhi
AIC-RNTU Foundation,Bhopal Madhya Pradesh
Annamalai innovation and Incubation Research Foundation EDII,Cuddalore Tamil Nadu
STEP,Ghaziabad Uttar Pradesh
AIC GIM Foundation,North Goa Goa
AIC BHU,Varanasi Uttar Pradesh
SONA INCUBATION FOUNDATION,Salem Tamil Nadu
NRDC,South Delhi Delhi
FOUNDATION FOR INNOVATORS IN SCIENCE AND TECHNOLOGY IIT PATNA,Patna Bihar
AI4ICPS.in (IIT Kharagpur AI4ICPS I Hub Foundation),Kharagpur West Bengal
AIC Raise,Coimbatore Tamil Nadu
IIT Mandi iHub and HCI Foundation,Mandi Himachal Pradesh
AIC STPI Bengaluru,Bengaluru Urban Karnataka
KR Innovation Centre,Thoothukudi Tamil Nadu
Navyug Navachar Foundation,Lucknow Uttar Pradesh
ISEED,Anand Gujarat
spic,Chandigarh Chandigarh
Atal Incubation Centre - Manipal University Jaipur,Jaipur Rajasthan
Centre for Innovation Incubation and Entrepreneurship,Srinagar Jammu and Kashmir
RAISE Foundation,Bijnor Uttar Pradesh
Baba Farid School of Entrepreneurship,Bathinda Punjab
IIT Ropar Technology Business Incubator Foundation,Rupnagar Punjab
OctaNE CoE STPI Guwahati, Uttar Pradesh
IKP EDEN,Bengaluru Karnataka
Sreenidhi ASCEND,Hyderabad Telangana
IIT Patna Vishlesan I Hub Foundation,Patna Bihar
VGU-TBI Trust,Jaipur Rajasthan
I-Hub Foundation for Cobotics,South Delhi Delhi
RMKEC INCUBATION CENTER,Chennai Tamil Nadu
ACICKIF,Srivilliputhur Tamil Nadu
Sri Sairm Techno Incubator Foundation,Chennai Tamil Nadu
91 Springboard Business Hub Private Limited,Delhi Delhi
NSUTIIF,South West Delhi Delhi
AIC-ISE Foundation,Mehsana Gujarat
TiLi Incubator,Aizawl Mizoram
AIC-DSU Innovation Foundation,Bengaluru Karnataka
NGI TBI,Coimbatore Tamil Nadu
Alsisar Impact Social Ventures Foundation,Mumbai Maharashtra
SIMAT TBI,Palakkad Kerala
TCE TBI,Madurai Tamil Nadu
4TUNE FACTORY FOUNDATION,Ernakulam Kerala
ECH- Incubation Centre University of Rajasthan,Jaipur Rajasthan
Meerut Udyami foundation,Meerut Uttar Pradesh
EKTA TBI,Nadia West Bengal
GIAN,Ahmedabad Gujarat
TISS Incube Foundation,Mumbai Maharashtra
SELCO Foundation,Bengaluru Karnataka
Dr Renuka Sharma,Gautam Buddha Nagar Uttar Pradesh
BUNDELKHAND INNOVATION AND INCUBATION CENTER FOUNDATION,Jhansi Uttar Pradesh
CUSATECH Foundation,Kochi Kerala
Incubator profile,Chandigarh Chandigarh
Florence International,Howrah West Bengal
WaterBank,Latehar Jharkhand
GVRIKSH,Delhi Delhi
The/Nudge Institute,Bengaluru Karnataka
Surge Impact Foundation,Hyderabad Telangana
IITJ Technology Innovation and Startup Center,Jodhpur Rajasthan
Foundation for CfHE,Sangareddy Telangana
Ganesan incubation and entrepreneurship center,Kanchipuram Tamil Nadu
Gujarat student startup and innovation hub,Ahmedabad Gujarat
SSN Incubation Foundation,Chennai Tamil Nadu
SPARKL,Mathura Uttar Pradesh
down town Venture Labs foundation,Guwahati Assam
ACIC-BMU Foundation,Gurugram Haryana
Navsanchar Incubation and Centre for Entrepreneurship NICE REC Ambedkar Nagar,Ambedkar Nagar Uttar Pradesh
WISE (DUK),Thiruvananthapuram Kerala
WEneurs Forum,Bhubaneswar Odisha
National Forensic Sciences University (Forensic Innovation Center),Gandhinagar Gujarat
Foundation for Innovation and Social Entrepreneurship (Atal Incubation Centre),North West Delhi Delhi
KLE CTIE Centre for Technology Innovation and Entrepreneurship,Hubli-Dharwad Karnataka
NITJ Technology Business Incubator,Jalandhar Punjab
INCeNSE,Bengaluru Urban Karnataka
J-Hub JNTUH,Hyderabad Telangana
The NorthCap Incubation and Innovation Centre,Karnal Haryana
SPARKLE CINE FOUNDATION,Mysuru Karnataka
TEST INC,Chandigarh Chandigarh
Sanctuary of Innovation Incubation and Entrepreneurship (SIIE) SRISTI-BioNEST,Gandhinagar Gujarat
Hindusthan Innovative Product Development Centre,Coimbatore Tamil Nadu
DBU TBI Foundations Desh Bhagat University,Fatehgarh Sahib Punjab
Dr APJ Abdul Kalam COE in Innovation and Entrepreneurship,Chennai Tamil Nadu
IIHMR Startups,Jaipur Rajasthan
SSUInnovation Foundation,Cuttack Odisha
Technology Innovation Foundation of IIT Palakkad(TECHIN),Palakkad Kerala
BSSS Incubation Centre,Bhopal Madhya Pradesh
IIPH NIDHI TBI for Public Health Gandhinagar,Gandhinagar Gujarat
TBI NIT Calicut,Kozhikode Kerala
Biotechnology Incubation Centre,Shimla Himachal Pradesh
Guwahati Biotech Park Technology Incubation Centre,Guwahati Assam
Institution of Industrial Research and Development Confederation,Kochi Kerala
Atal Incubation Centre - Ambedkar University Delhi Foundation,North Delhi Delhi
Startup Incubation and Innovation Centre UPTTI Kanpur,Kanpur Nagar Uttar Pradesh
The ICFAI Foundation for Higher Education Innovation & Entrepreneurship Council (IIEC),Hyderabad Telangana
DSEU,Delhi Delhi
Rural Business Incubator,Almora Uttarakhand
JNTUH TBI,Hyderabad Telangana
Surbhi Gupta, Haryana
IIT Ropar - Technology and Innovation Foundation (AWaDH),Rupnagar Punjab
Centre for Agribusiness Incubation and Entrepreneurship,Gwalior Madhya Pradesh
Avishkaran the BioNEST of NIPER Hyderabad,Hyderabad Telangana
K L Technology Incubators Foundation,Vijayawada Andhra Pradesh
SHRI SHANKARACHARYA BUSINESS INCUBATOR FOUNDATION,Durg Chhattisgarh
ACIC GIET UNIVERSITY FOUNDATION,Rayagada Odisha
E-Hub Mahindra University,Hyderabad Telangana
IITJ TISC,Jodhpur Rajasthan
